,"Quarterly GDP growth (%), chained volume measure, seasonally adjusted"
2008 Q1,0.4
2008 Q2,-0.7
2008 Q3,-1.6
2008 Q4,-2.2
2009 Q1,-1.7
2009 Q2,-0.2
2009 Q3,0.1
2009 Q4,0.3
2010 Q1,0.5
2010 Q2,0.9
2010 Q3,0.6
2010 Q4,0.1
2011 Q1,0.7
2011 Q2,0.1
2011 Q3,0.3
2011 Q4,0.2
2012 Q1,0.6
2012 Q2,-0.1
2012 Q3,1.2
2012 Q4,-0.2
2013 Q1,0.6
2013 Q2,0.5
2013 Q3,0.9
2013 Q4,0.5
2014 Q1,0.8
2014 Q2,0.8
2014 Q3,0.7
2014 Q4,0.7
2015 Q1,0.4
2015 Q2,0.6
2015 Q3,0.4
2015 Q4,0.7
2016 Q1,0.3
2016 Q2,0.2
2016 Q3,0.5
2016 Q4,0.7
2017 Q1,0.4
2017 Q2,0.3
2017 Q3,0.4
2017 Q4,0.4
2018 Q1,0.1
2018 Q2,0.4
2018 Q3,0.6
,
Max since 08,1.2
Min since 08,-2.2
