,GBP/EUR,,source: Bank of England
Jan-08,1.3383,,
Feb-08,1.3316,,
Mar-08,1.2897,,
Apr-08,1.258,,
May-08,1.2633,,
Jun-08,1.2636,,
Jul-08,1.2615,,
Aug-08,1.2614,,
Sep-08,1.2531,,
Oct-08,1.2718,,
Nov-08,1.2041,,
Dec-08,1.1043,,
Jan-09,1.0919,,
Feb-09,1.1264,,
Mar-09,1.0867,,
Apr-09,1.1157,,
May-09,1.1295,,
Jun-09,1.1682,,
Jul-09,1.1622,,
Aug-09,1.1597,,
Sep-09,1.1212,,
Oct-09,1.0928,,
Nov-09,1.1126,,
Dec-09,1.1127,,
Jan-10,1.1327,,
Feb-10,1.1415,,
Mar-10,1.1092,,
Apr-10,1.1436,,
May-10,1.1685,,
Jun-10,1.2082,,
Jul-10,1.1959,,
Aug-10,1.2132,,
Sep-10,1.1901,,
Oct-10,1.1412,,
Nov-10,1.1701,,
Dec-10,1.1802,,
Jan-11,1.1817,,
Feb-11,1.1815,,
Mar-11,1.1527,,
Apr-11,1.1331,,
May-11,1.1403,,
Jun-11,1.1261,,
Jul-11,1.1308,,
Aug-11,1.1422,,
Sep-11,1.147,,
Oct-11,1.1487,,
Nov-11,1.1659,,
Dec-11,1.1843,,
Jan-12,1.2034,,
Feb-12,1.1941,,
Mar-12,1.1981,,
Apr-12,1.2161,,
May-12,1.244,,
Jun-12,1.2416,,
Jul-12,1.2688,,
Aug-12,1.2676,,
Sep-12,1.2524,,
Oct-12,1.2393,,
Nov-12,1.244,,
Dec-12,1.231,,
Jan-13,1.2,,
Feb-13,1.1594,,
Mar-13,1.1634,,
Apr-13,1.175,,
May-13,1.1777,,
Jun-13,1.174,,
Jul-13,1.16,,
Aug-13,1.1649,,
Sep-13,1.1883,,
Oct-13,1.1797,,
Nov-13,1.1938,,
Dec-13,1.1947,,
Jan-14,1.2097,,
Feb-14,1.2122,,
Mar-14,1.2021,,
Apr-14,1.2125,,
May-14,1.2267,,
Jun-14,1.2436,,
Jul-14,1.2611,,
Aug-14,1.2542,,
Sep-14,1.2639,,
Oct-14,1.2678,,
Nov-14,1.2646,,
Dec-14,1.2686,,
Jan-15,1.3045,,
Feb-15,1.3503,,
Mar-15,1.3825,,
Apr-15,1.3856,,
May-15,1.3852,,
Jun-15,1.3879,,
Jul-15,1.4139,,
Aug-15,1.4004,,
Sep-15,1.3665,,
Oct-15,1.3657,,
Nov-15,1.4168,,
Dec-15,1.3769,,
Jan-16,1.3257,,
Feb-16,1.289,,
Mar-16,1.2809,,
Apr-16,1.2622,,
May-16,1.2846,,
Jun-16,1.2646,,
Jul-16,1.1884,,
Aug-16,1.1687,,
Sep-16,1.1722,,
Oct-16,1.119,,
Nov-16,1.1533,,
Dec-16,1.1838,,
Jan-17,1.1613,,
Feb-17,1.1732,,
Mar-17,1.1548,,
Apr-17,1.1798,,
May-17,1.1696,,
Jun-17,1.1403,,
Jul-17,1.1281,,
Aug-17,1.0974,,
Sep-17,1.1186,,
Oct-17,1.1227,,
Nov-17,1.1259,,
Dec-17,1.133,,
Jan-18,1.1331,,
Feb-18,1.1311,,
Mar-18,1.1328,,
Apr-18,1.1477,,
May-18,1.1397,,
Jun-18,1.1378,,
Jul-18,1.1269,,
Aug-18,1.1157,,
Sep-18,1.1195,,
Oct-18,1.133,,
Nov-18,1.1352,-0.143697669,
,,,
Max since 08,1.4253,,
Min since 08,1.0342,,
